48.44051,5.4015,346.2,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,296.6,6.5,1
48.38566,2.98281,332.5,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,301.3,2.4,1
49.24606,6.85209,334.5,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,298.9,12.6,1
49.50456,5.95997,328.7,0.4,0.4,2017-04-29,1224,N,low,1.0NRT,300.2,1.6,1
49.94716,7.28949,344.9,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,298.3,2.7,1
49.9506,7.28845,346.6,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,296.9,9.1,1
51.46016,6.73639,329.6,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,292.8,1.6,1
51.48351,6.72278,335.2,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,296.5,7.1,1
51.48277,6.71671,331,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,298.3,7.2,1
51.48696,6.7217,337.6,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,298.9,5.1,1
51.48545,6.70955,343.6,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,303.4,11.1,1
51.48471,6.7035,341.1,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,307.1,8.1,1
51.49265,6.73883,347.2,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,305.7,7.2,1
51.49684,6.74383,340.6,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,305,6,1
52.1531,10.40519,343.7,0.6,0.4,2017-04-29,1224,N,nominal,1.0NRT,289.2,16.3,1
50.15491,-5.1114,339.1,0.4,0.5,2017-04-29,1224,N,nominal,1.0NRT,289,9.6,1
52.48274,4.59449,335.5,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,302.4,4.6,1
52.48527,4.58751,341,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,297.4,4.6,1
52.49255,4.61512,347,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,304.1,4.5,1
52.49176,4.60935,325.8,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,293.9,4.5,1
56.78111,2.10911,330.3,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,281.3,5.2,1
57.00159,1.29347,333.3,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,279.3,2.3,1
57.16079,2.29377,327.1,0.4,0.4,2017-04-29,1224,N,nominal,1.0NRT,277.8,2.7,1
64.66614,21.28128,330.9,0.5,0.7,2017-04-29,1230,N,nominal,1.0NRT,283.4,5.8,1
64.66138,21.28049,329.5,0.5,0.7,2017-04-29,1230,N,nominal,1.0NRT,278.3,5.6,1
66.30634,14.17322,340.5,0.3,0.6,2017-04-29,1230,N,nominal,1.0NRT,285.5,2.4,1
66.31158,14.175,334.8,0.3,0.6,2017-04-29,1230,N,nominal,1.0NRT,286.7,2.4,1
37.20387,-7.5104,332.5,0.6,0.5,2017-04-29,1400,N,nominal,1.0NRT,296.8,4,1
41.1914,-8.39628,340.4,0.6,0.5,2017-04-29,1406,N,nominal,1.0NRT,295.4,5.7,1
41.19613,-8.39738,339.7,0.6,0.5,2017-04-29,1406,N,nominal,1.
